-----------Home----------
||||||||||||||
||||||||||||||
||||||||||||||
|Zeevisserij : Belgische vangst gelost in België|||||||||||||
|Maandresultaten 2016|||||||||||||
|De visserijstatistiek omvat zowel de hoeveelheden als de waarde van de vis die rechtstreeks in onze havens wordt aangevoerd en verkocht door Belgische vaartuigen.

Per aanvoerhaven worden de vangsten opgesplitst volgens vissoort. Deze resultaten worden maandelijks verzameld door de dienst Landbouw en Visserij van de Vlaamse overheid, die op nationaal vlak verantwoordelijk is voor het verzamelen van deze informatie op hun grondgebied.

|||||||||||||
||||||||||||||
||2016||||||||||||
||Januari|201601|Mei|201605|September|201609|||||||
||Februari|201602|Juni|201606|Oktober|201610|||||||
||Maart|201603|Juli|201607|November|201611|||||||
||April|201604|Augustus|201608|December|201612|||||||
||||||||||||||
||||||||||||||
||||||||||||||
----------------------------------
-----------201601----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Januari 2016|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
Heek|866|2520,19|142|405,94|724|2114,25|-|-|
Steenbolk|58631|36080,219999999994|19775|8318,47|38856|27761,749999999996|-|-|
Schol|241370|386306,07000000076|152102|234993,78999999995|88095|150142,59000000014|1173|1169,69|
Bot|44105|32081,030000000002|37576|28105,030000000002|6092|3780,63|437|195,37|
Schar|40873|26583,549999999996|20658|12817,890000000005|19764|13297,200000000004|451|468,46000000000004|
Tong|299708|3274587,499999999|100469|1044973,2499999999|198274|2219573,100000001|965|10041,15|
Tarbot|24067|264550,91999999987|14104|153045,17000000016|9955|111412,34999999999|8|93,4|
Griet|31326|200034,8000000002|12156|77528,34000000003|19157|122421,09999999993|13|85,36000000000001|
Tongschar|39348|227990,56000000003|11566|64631,1|27782|163359,4599999999|-|-|
Schartong|12190|21707,86|1541|3684,9100000000003|10649|18022,95|-|-|
Heilbot|38|557,78|38|557,78|-|-|-|-|
Hondstong|7536|16601,530000000002|1019|2655,6299999999997|6517|13945,899999999998|-|-|
Rog|45452|159243,75000000015|21544|76944,25000000001|23905|82292,57|3|6,93|
Rode poon|166856|173169,80000000008|53308|77299,28000000004|113548|95870,52000000002|-|-|
Grauwe poon|1545|340,4000000000001|828|182,05999999999997|717|158,34|-|-|
Engelse poon|58010|28580,269999999993|6880|3474,460000000001|51130|25105,809999999998|-|-|
Zeewolf|3|9,42|3|9,42|-|-|-|-|
Zeeduivel|29850|328052,69999999984|4735|48833,18999999999|25115|279219,51|-|-|
Kongeraal|5771|5144,610000000001|928|726,5199999999999|4843|4418,09|-|-|
Roodbaars|-|-|-|-|-|-|-|-|
Mul|12801|59721,620000000046|5576|33716,91000000001|7225|26004,709999999992|-|-|
Zeebaars|3704|47083,61000000001|1315|17934,700000000004|2384|29054,809999999998|5|94,1|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|65935|48356,96999999999|20900|18132,749999999996|45035|30224,219999999998|-|-|
Zandhaai|279|150,68999999999997|178|71,46999999999998|101|79,22|-|-|
Andere soorten|11209|54212,2|4220|20306,279999999995|6986|33896,73|3|9,19|
|||||||||
Pelagische vis :|||||||||
Totaal|21533|13996,539999999999|20107|12086,800000000001|1332|1888,2200000000003|94|21,520000000000003|
Horsmakereel|4684|2078,75|4639|2012,15|45|66,6|-|-|
Haring|10010|3172,9100000000003|8961|2619,6900000000005|955|531,7|94|21,520000000000003|
Makreel|6815|8673,32|6483|7383,400000000001|332|1289,92|-|-|
Sprot|-|-|-|-|-|-|-|-|
Andere soorten|24|71,56|24|71,56|-|-|-|-|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|267447|995649,1599999999|63637|347278,91|203065|638645,0900000003|745|9725,159999999998|
Garnaal|4632|51088,04999999999|3804|40335,28999999999|86|1036,58|742|9716,179999999998|
Langoestine geheel|9362|84868,42|9360|84849,55999999998|2|18,86|-|-|
Langoestine staartje|1193|13547,9|1184|13429,999999999998|9|117,9|-|-|
Noordzeekrab|2205|12310,600000000002|754|4411,390000000002|1451|7899,209999999998|-|-|
Zeekreeft|34|316,50999999999993|34|316,50999999999993|-|-|-|-|
Andere schaaldieren|390|228,96|2|0,5|388|228,46|-|-|
Schelpen|67848|207547,57999999987|16459|53217,61|51389|154329,96999999997|-|-|
Inktvis|173457|617107,1500000001|29359|147067,00999999998|144095|470031,1600000003|3|8,98|
Wulk|8326|8633,99|2681|3651,04|5645|4982,950000000001|-|-|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
* Algemene Directie Statistiek - Statistics Belgium op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, AVKD.|||||||||
|||||||||
----------------------------------
-----------201604----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - April 2016|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|1489284|6223698,29|608962|2181900,68|875083|4005205,5000000005|5239|36592,11|
|||||||||
Bodemvissen :|||||||||
Totaal|1343741|5729976,33|551468|1967798,7200000002|788044|3736822,0300000003|4229|25355,58|
Schelvis|25165|39409,87|6102|9727,52|19063|29682,350000000002|-|-|
Kabeljauw|52320|141194,33999999994|12569|36561,64999999999|39584|103963,08000000006|167|669,61|
Koolvis|571|908,61|22|33,8|549|874,8100000000001|-|-|
Wijting|73773|77601,45000000001|24518|21502,99000000001|49195|56071,09|60|27,369999999999997|
Pollak|8157|25859,730000000018|2535|7785,260000000001|5622|18074,470000000005|-|-|
Leng|15168|27022,07000000001|2728|4994,4000000000015|12440|22027,670000000013|-|-|
Heek|1515|3143,1499999999987|247|518,59|1268|2624,56|-|-|
Steenbolk|24657|15585,920000000007|10209|4498,78|14448|11087,140000000001|-|-|
Schol|245062|381726,6100000002|128908|189265,69999999966|115631|191759,65999999995|523|701,2500000000001|
Bot|49901|31273,95|43916|27544,040000000005|5849|3681,95|136|47,96000000000001|
Schar|30417|17377,93|20689|11164,429999999997|8714|5584,699999999999|1014|628,8|
Tong|277675|2804227,3999999994|100706|948274,6100000007|174799|1833934,2100000007|2170|22018,58|
Tarbot|24375|277599,8199999998|10994|124454,26999999992|13348|152816,65000000005|33|328,9|
Griet|23844|175167,86999999997|9476|69640,52000000002|14309|105146,99000000002|59|380,36000000000007|
Tongschar|99927|507004,9899999998|17165|83418,62999999998|82762|423586,36|-|-|
Schartong|19383|31014,419999999995|4887|7694,040000000001|14496|23320,379999999986|-|-|
Heilbot|117|1701,5899999999997|19|253,13000000000002|98|1448,46|-|-|
Hondstong|25823|43550,14|3316|5767,080000000001|22507|37783,06000000002|-|-|
Rog|85338|250055,83000000002|47744|133301,74999999994|37593|116752,60000000003|1|1,48|
Rode poon|66771|85272,63000000005|35461|52683,16999999999|31310|32589,459999999985|-|-|
Grauwe poon|2176|527,5|124|30,68|2052|496,82|-|-|
Engelse poon|24627|14223,000000000005|6603|4056,0299999999997|18024|10166,970000000001|-|-|
Zeewolf|1079|4468,41|-|-|1079|4468,409999999999|-|-|
Zeeduivel|59567|554285,1999999998|12442|110811,1|47125|443474,0999999998|-|-|
Kongeraal|2743|3518,78|1297|1721,9800000000002|1446|1796,8000000000002|-|-|
Roodbaars|-|-|-|-|-|-|-|-|
Mul|15026|84204,89000000001|9492|61822,89000000001|5534|22382,000000000007|-|-|
Zeebaars|4950|49361,94000000005|1838|20834,120000000003|3064|28000,109999999997|48|527,71|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|67187|24459,25|31556|11565,57|35630|12893,460000000001|1|0,22|
Zandhaai|323|143,66|263|97,91|53|44,07|7|1,68|
Andere soorten|16104|58085,38000000003|5642|17774,08|10452|40289,64|10|21,659999999999997|
|||||||||
Pelagische vis :|||||||||
Totaal|16670|9137,49|16300|8796,509999999998|275|321,28999999999996|95|19,69|
Horsmakereel|8765|3311,3199999999993|8617|3154,5499999999993|104|151,85|44|4,92|
Haring|3780|1058,9|3587|947,6|142|96,53|51|14,770000000000001|
Makreel|3922|4269,39|3893|4196,48|29|72,91|-|-|
Sprot|-|-|-|-|-|-|-|-|
Andere soorten|203|497,88|203|497,88|-|-|-|-|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|128873|484584,46999999986|41194|205305,45000000004|86764|268062,18|915|11216,84|
Garnaal|3517|37910,36|2682|26990,54|-|-|835|10919,82|
Langoestine geheel|9029|62106,73|9029|62106,73|-|-|-|-|
Langoestine staartje|3229|26189,109999999997|3229|26189,11|-|-|-|-|
Noordzeekrab|3618|14995,84|1125|5227,469999999999|2493|9768,369999999999|-|-|
Zeekreeft|96|1204,5200000000002|42|480,68000000000006|54|723,84|-|-|
Andere schaaldieren|628|277,77000000000004|17|21,7|611|256,07|-|-|
Schelpen|60574|184519,81|11800|38925,67000000001|48774|145594,14|-|-|
Inktvis|43905|151392,4399999998|10926|41219,39000000002|32899|109876,03|80|297,02|
Wulk|4277|5987,89|2344|4144,16|1933|1843,73|-|-|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
* Algemene Directie Statistiek - Statistics Belgium op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, AVKD.|||||||||
|||||||||
----------------------------------
-----------201605----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Mei 2016|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|1194734|4645676,050000003|482970|1784138,9899999995|707969|2824639,5|3795|36897,56|
|||||||||
Bodemvissen :|||||||||
Totaal|1131314|4379660,170000003|445861|1610680,5099999995|683878|2756039,38|1575|12940,28|
Schelvis|18446|24615,319999999996|5820|7506,9800000000005|12626|17108,34|-|-|
Kabeljauw|48195|130086,05000000015|7441|23248,25|40752|106829,71999999999|2|8,08|
Koolvis|684|918,55|50|45,730000000000004|634|872,8199999999999|-|-|
Wijting|12961|15645,980000000003|8546|10582,230000000007|4411|5062,079999999997|4|1,67|
Pollak|1991|7875,740000000001|887|3462,5800000000013|1104|4413,16|-|-|
Leng|2661|7787,679999999999|549|1524,0100000000002|2112|6263,67|-|-|
Heek|1971|4256,409999999998|479|987,38|1492|3269,0299999999993|-|-|
Steenbolk|8983|5987,900000000001|4767|3397,5899999999997|4216|2590,3100000000004|-|-|
Schol|414694|702965,8000000005|157017|249572,54000000015|257506|453162,4099999998|171|230,85000000000002|
Bot|31983|19547,140000000003|23675|14371,389999999998|8128|5081,42|180|94,33|
Schar|21659|15365,960000000001|12478|7895,9900000000025|8845|7128,8|336|341,1700000000001|
Tong|154701|1996248,210000001|66144|778596,0199999997|87842|1206508,12|715|11144,07|
Tarbot|22985|247180,39000000028|10020|100224,50999999998|12958|146894,11000000013|7|61,77|
Griet|13432|110041,70999999996|5584|44316,17999999998|7839|65661,67999999998|9|63,85|
Tongschar|54456|267520,6|11598|54303,670000000006|42858|213216,92999999993|-|-|
Schartong|20061|27542,560000000016|7785|11116,710000000003|12276|16425,850000000002|-|-|
Heilbot|144|1802,8700000000001|55|664,6899999999999|89|1138,18|-|-|
Hondstong|7413|13153,11|2728|4444,74|4685|8708,37|-|-|
Rog|159246|270905,81000000046|67712|117940,55999999994|91531|152956,09999999995|3|9,15|
Rode poon|22841|39477,009999999995|11643|25774,920000000013|11194|13700,159999999996|4|1,9300000000000002|
Grauwe poon|1122|273,5|226|49,3|896|224,2|-|-|
Engelse poon|4229|2529,6800000000007|1243|880,2000000000002|2986|1649,4800000000002|-|-|
Zeewolf|2959|11365,209999999997|226|821,2599999999998|2733|10543,95|-|-|
Zeeduivel|35078|347042,60000000015|9252|89043,76999999999|25826|257998,83000000002|-|-|
Kongeraal|1391|2070,0999999999995|739|1077,76|652|992,3400000000003|-|-|
Roodbaars|4|4,76|-|-|4|4,76|-|-|
Mul|6413|20575,850000000002|4425|17013,36|1985|3547,19|3|15,3|
Zeebaars|1518|19622,11|937|11949,67|516|6845,069999999999|65|827,3699999999999|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|46140|17982,780000000006|19600|8690,78|26538|9291,519999999999|2|0,48|
Zandhaai|572|171,13|444|133,09|69|25,509999999999998|59|12,53|
Andere soorten|12381|49097,650000000016|3791|21044,649999999994|8575|27925,269999999997|15|127,73|
|||||||||
Pelagische vis :|||||||||
Totaal|4971|2681,17|4757|2352,44|135|307,92999999999995|79|20,8|
Horsmakereel|4308|1443,6200000000001|4215|1403,4499999999998|27|26,2|66|13,969999999999999|
Haring|27|23,32|15|18,47|-|-|12|4,85|
Makreel|549|1012,71|440|729|108|281,72999999999996|1|1,98|
Sprot|-|-|-|-|-|-|-|-|
Andere soorten|87|201,52|87|201,52|-|-|-|-|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|58449|263334,70999999996|32352|171106,04|23956|68292,19|2141|23936,479999999996|
Garnaal|5781|61615,27|3652|36774,020000000004|109|1250|2020|23591,249999999996|
Langoestine geheel|8161|64359,67999999997|7386|59945,35|775|4414,33|-|-|
Langoestine staartje|3583|27713,820000000003|2279|18689,51|1304|9024,31|-|-|
Noordzeekrab|4366|13709,94|1459|4946,909999999999|2907|8763,029999999999|-|-|
Zeekreeft|30|268,65|24|220,39000000000001|6|48,260000000000005|-|-|
Andere schaaldieren|589|148|286|64,23|303|83,77|-|-|
Schelpen|20556|62813,16000000003|9329|29492,910000000003|11227|33320,25|-|-|
Inktvis|8197|25831,969999999998|5096|18151,14|2980|7335,599999999999|121|345,23|
Wulk|7186|6874,220000000001|2841|2821,5799999999995|4345|4052,64|-|-|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
* Algemene Directie Statistiek - Statistics Belgium op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, AVKD.|||||||||
|||||||||
----------------------------------
-----------201606----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Juni 2016|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|1229018|5112949,989999997|429247|1501089,0599999994|794070|3565663,7499999977|5701|46197,17999999999|
|||||||||
Bodemvissen :|||||||||
Totaal|1159919|4835873,889999997|403450|1336019,0999999994|752148|3467654,1699999976|4321|32200,61999999999|
Schelvis|13643|22354,50000000001|5221|9031,14|8422|13323,36|-|-|
Kabeljauw|38563|110026,53999999996|6507|22113,970000000012|32056|87912,57000000004|-|-|
Koolvis|469|703,55|11|19,08|458|684,47|-|-|
Wijting|9000|12315,430000000004|4282|5842,76|4697|6462,6299999999965|21|10,04|
Pollak|2842|9982,68|1542|5598,62|1300|4384,0599999999995|-|-|
Leng|1367|3745,1499999999983|410|1089,33|957|2655,82|-|-|
Heek|8870|16925,1|2229|4053,030000000001|6641|12872,070000000003|-|-|
Steenbolk|8312|5514,62|2464|1315,74|5848|4198,879999999999|-|-|
Schol|471564|753734,3|191096|285888,5799999999|280154|467508,68000000005|314|337,04|
Bot|20713|11815,760000000002|14530|8479,33|4893|2813,89|1290|522,5400000000001|
Schar|12852|10739,009999999998|7172|5835,029999999999|5226|4438,089999999999|454|465,89000000000004|
