-----------Home----------
||||||||||||||
||||||||||||||
||||||||||||||
|Zeevisserij : Belgische vangst gelost in België|||||||||||||
|Maandresultaten 2022|||||||||||||
|De visserijstatistiek omvat zowel de hoeveelheden als de waarde van de vis die rechtstreeks in onze havens wordt aangevoerd en verkocht door Belgische vaartuigen.

Per aanvoerhaven worden de vangsten opgesplitst volgens vissoort. Deze resultaten worden maandelijks verzameld door de dienst Landbouw en Visserij van de Vlaamse overheid, die op nationaal vlak verantwoordelijk is voor het verzamelen van deze informatie op hun grondgebied.

|||||||||||||
||||||||||||||
||2022||||||||||||
||Januari|202201|Mei|202205|September|202209|||||||
||Februari|202202|Juni|202206|Oktober|202210|||||||
||Maart|202203|Juli|202207|November|202211|||||||
||April|202204|Augustus|202208|December|202212|||||||
||||||||||||||
||||||||||||||
||||||||||||||
----------------------------------
-----------202201----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Januari 2022|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|1346569|5831780,900000001|588527|2447816,7500000014|734090|3285817,44|23952|98146,71000000002|
|||||||||
Bodemvissen :|||||||||
Totaal|939752|4245465,550000001|393515|1669015,0800000015|527729|2504163,3000000003|18508|72287,17000000001|
Schelvis|5521|11318,019999999997|1828|4987,7300000000005|3693|6330,290000000002|-|-|
Kabeljauw|2634|11253,739999999993|442|1947,7499999999995|2185|9283,929999999997|7|22,06|
Koolvis|7|5,66|-|-|7|5,66|-|-|
Wijting|18828|19033,679999999993|10250|8947,759999999998|7625|9333,35000000001|953|752,5699999999998|
Pollak|454|2271,08|216|986,74|238|1284,3400000000001|-|-|
Leng|378|1105,8799999999999|56|173,87|319|927,1100000000001|3|4,9|
Heek|1136|2866,2500000000005|215|665,97|921|2200,28|-|-|
Steenbolk|66657|32347,559999999998|27092|11172,21|38591|20448,439999999995|974|726,91|
Schol|263679|576108,0500000002|113909|245181,0900000002|145633|322622,9800000001|4137|8303,980000000001|
Bot|5061|3115,6800000000003|3047|1933,81|641|418,39000000000004|1373|763,48|
Schar|5476|5321,42|2317|2047,6399999999999|2468|2651,6200000000003|691|622,1600000000002|
Tong|139606|2134972,1200000006|51624|787771,020000001|85572|1313018,7100000004|2410|34182,39000000001|
Tarbot|13630|220048,83000000007|5237|85566,82000000004|8053|129826,42000000001|340|4655,59|
Griet|14434|159669,18|6644|75486,26999999999|6853|74049,76000000004|937|10133,150000000001|
Tongschar|20460|121891,79000000001|9670|61487,21000000002|10684|59880,90999999999|106|523,67|
Schartong|18802|39423,28999999999|5156|11683,990000000002|13646|27739,299999999996|-|-|
Heilbot|-|-|-|-|-|-|-|-|
Hondstong|1671|4041,950000000001|347|838,32|1324|3203,6299999999997|-|-|
Rog|98586|256276,84999999995|39309|95532,18999999992|57348|155981,53999999995|1929|4763,12|
Rode poon|74011|80898,95999999999|39256|42415,88000000001|33102|37080,05|1653|1403,03|
Grauwe poon|200|41,28999999999999|20|4|180|37,29|-|-|
Engelse poon|74438|32776,58999999998|27653|13179,559999999998|46490|19488,809999999994|295|108,22000000000001|
Zeewolf|-|-|-|-|-|-|-|-|
Zeeduivel|37570|378817,83000000025|16233|145923,04|21149|230578,4400000002|188|2316,35|
Kongeraal|5078|4840,550000000002|1750|1530,5800000000002|3328|3309,9700000000003|-|-|
Roodbaars|-|-|-|-|-|-|-|-|
Mul|6414|29138,570000000007|2963|14498,470000000001|3442|14620,399999999996|9|19,700000000000003|
Zeebaars|3430|30888,92|870|7538,080000000001|2450|22519,96|110|830,8800000000001|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|50039|23959,36|21520|8026,489999999999|26381|15292,289999999997|2138|640,5799999999998|
Zandhaai|679|313,7|218|108,94|461|204,76000000000002|-|-|
Andere soorten|10873|62718,74999999995|5673|39379,64999999998|4945|21824,670000000002|255|1514,43|
|||||||||
Pelagische vis :|||||||||
Totaal|16583|14209,689999999999|16222|13731,75|37|130,36|324|347,58|
Horsmakreel|3065|1202,11|3064|1202,1|1|0,01|-|-|
Haring|2734|1144,1499999999996|2708|1124,0699999999997|-|-|26|20,080000000000002|
Makreel|10370|11096,68|10350|11049,14|20|47,54|-|-|
Sprot|414|766,7499999999999|100|356,44|16|82,81|298|327,5|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|390234|1572105,6600000004|178790|765069,9199999999|206324|781523,7799999998|5120|25511,96|
Garnaal|3668|33604,340000000004|2288|18667,84|85|1104,15|1295|13832,35|
Langoestine|3282|30444,480000000003|3282|30444,480000000003|-|-|-|-|
Noordzeekrab|1491|9762,339999999998|564|3861,2000000000007|891|5845,59|36|55,55|
Zeekreeft|131|1899,9499999999996|62|693,0299999999999|69|1206,9199999999998|-|-|
Andere schaaldieren|1556|1247,9599999999996|343|228,11|1158|948,9800000000002|55|70,87|
Schelpen|60380|159146,75|35259|92698,53000000004|23136|61187,75000000003|1985|5260,47|
Inktvis|307614|1330930,6700000004|134537|617593,0799999998|171989|708072,4899999998|1088|5265,099999999999|
Wulk|12112|5069,17|2455|883,6500000000001|8996|3157,899999999999|661|1027,62|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
*Bron: Statbel (Algemene directie Statistiek - Statistics Belgium) op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, ABCO.|||||||||
|||||||||
----------------------------------
